Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,Length,AASI,ABHPRK,argos,bulkiness,charge_phys,charge_acid,cougar,eisenberg,Ez,flexibility,grantham,gravy,hopp-woods,ISAECI,janin,kytedoolittle,levitt_alpha,MSS,MSW,pepArc,pepcats,polarity,PPCALI,refractivity,t_scale,TM_tend,z3,z5
-0.389976694,-0.545954539,-0.831150892,-0.802092601,-0.448077625,-0.831420287,0.811127395,-0.771042778,-0.054821876,0.90312177,0.369559291,-1.539938429,-0.827521032,-0.490149979,-0.468181631,-0.042599386,-0.883679272,-0.368860639,0.760191192,-0.187865981,-0.934924626,1.181966567,-0.798661108,-0.914761229,-0.919186542,-0.076303153,-0.317853763,-0.759983432,0.741884937,0.451034118,1.136361595,0.236351801,-0.046359371,0.341391595,-1.286702475,0.956724699,0.598053174
-0.899895265,-0.469508104,-1.02970209,-0.648390483,1.139414713,0.165586994,-0.170490545,-0.151601306,0.936804279,-0.06338942,0.356638067,0.068124432,0.699647599,-0.440228018,-0.528670932,0.217360062,0.330696327,0.392692083,-0.502530983,0.486079871,0.039115379,-0.761366737,0.320221546,0.167992708,0.033322641,-0.2625086,0.929805549,0.449480275,-0.253046346,0.354989109,-0.263007425,0.179377574,0.308257141,0.484823643,0.500744846,-0.033425094,-0.056723392
-0.779178468,-0.494840832,-0.662926788,0.860230966,0.466581427,-0.269771004,0.3325602,0.059719202,0.636680207,0.209476186,0.490909544,0.127135095,0.419400574,-0.426665326,-0.233486053,-0.311038495,-0.245944688,-0.033214264,-0.632893121,0.645874823,-0.166178419,-0.111810834,0.140945069,0.021627198,-0.172038925,0.605701225,0.800522418,0.820927664,0.464355168,0.8147874,-0.135837237,0.330380105,0.99241625,0.691342516,-0.034200281,0.308824062,0.201849465
-0.96206514,-0.480593737,-0.949513025,0.081572431,1.020716,1.051225113,-0.556410769,0.336048848,0.983445182,-0.434193301,0.626651338,0.76871919,1.49459881,-0.448481022,-0.464205575,0.213196912,0.656927973,1.108348668,-0.800591458,1.008283124,0.516384903,-0.922938606,1.193310938,0.414961528,0.507524954,0.024692408,1.279767334,0.634648185,0.017377764,0.29880952,-0.780205812,0.170632734,0.809600614,0.712718969,0.805449086,-0.515339253,-0.599049278
-0.042801176,-0.019938952,-0.131738285,1.295174753,-0.511015136,-0.840948076,0.925045803,-1.255665907,1.608027709,-0.322989604,-0.075884498,-0.338792771,-0.693305208,0.156674532,0.349296503,-0.629685167,-0.539553697,0.047010005,1.496861188,-0.591804273,-0.615716496,0.10953765,-1.073340391,0.053086834,-0.631181266,-0.910982102,0.077679905,0.3034687,-0.261059551,0.273357667,0.48852292,-0.85312714,-0.412134327,-0.555160155,-0.034982638,0.728770987,1.006868423
0.463301217,0.381270715,1.272018685,0.066210048,-0.671470126,0.282887371,1.641140387,-1.112729415,-0.300193584,1.122535691,1.833893953,-0.661184885,0.063049132,0.428111471,1.011702773,-0.996404267,-1.735426867,-0.40044306,0.490482384,1.455428893,-1.572089653,1.603313349,-0.243682237,-1.816349027,-1.583709529,1.529689971,0.131634544,1.019423161,2.027241656,1.23545145,1.440199519,0.045081995,0.758125102,1.341168039,-1.524460188,0.894140761,1.092568001
-0.004880934,-0.504350147,-0.830254209,0.066292344,-1.576903586,0.877906823,-1.505292099,-0.133451552,-0.600317655,-1.46196301,-2.124818433,1.393777507,-0.235576427,-0.498816292,-0.36299987,0.826864933,1.47175277,1.344828682,0.458464019,-2.000249166,0.847538664,-1.476112067,-0.188760037,1.420575955,0.803194645,-1.384894084,-1.123432897,-0.868875876,-2.29899378,-2.62943044,-0.975886641,-1.927102624,-2.232593958,-2.27060915,1.116130842,-1.437561391,-1.457051638
0.06839933,-0.068441194,-0.215770276,-1.506431912,1.947509577,-0.936898372,0.067590793,-0.622434587,0.01209768,0.242697418,0.236673136,-0.936204278,-0.465119906,-0.025529964,-0.014523456,0.412283601,0.179268513,0.455717874,-0.118759846,0.15512563,-0.278416047,-0.701297796,0.054408236,0.377093716,-0.269663522,-1.463898804,0.062214917,0.256192222,-0.755005994,0.417015905,-0.101881387,-0.16842647,0.61415764,0.348828342,0.328374827,0.54842879,0.831818237
0.124241114,-0.01683963,-0.104965897,-1.391855636,1.882639269,-0.840101953,0.031569786,-0.520373214,0.01209768,0.177787131,0.177142123,-0.851086833,-0.386546161,0.024302178,0.033127011,0.389303543,0.216313894,0.438830776,-0.164986253,0.137312721,-0.228838442,-0.759553936,0.080943784,0.4097442,-0.220245145,-1.427695115,0.070361511,0.309472596,-0.8047238,0.30157478,-0.126703828,-0.201303241,0.544021661,0.317037902,0.380136472,0.494713051,0.815994448
0.114676518,-0.02570968,-0.126486285,-1.507778926,1.947509577,-0.791703744,-0.013374129,-0.486352757,0.01209768,0.128108502,0.157298456,-0.849860864,-0.352636019,0.015241795,-0.014523456,0.407862929,0.25458899,0.452926256,-0.131853794,0.150268901,-0.174042144,-0.786033999,0.118881965,0.440116744,-0.164708296,-1.468553584,0.078118438,0.310932334,-0.829582716,0.30157478,-0.190382981,-0.224039935,0.595823403,0.307052521,0.411874757,0.453954694,0.726857865
